Tue Apr 28 00:28:13 2020 recv heartbeat error:0

Tue Apr 28 00:28:13 2020 recv heartbeat error:0

Tue Apr 28 00:28:13 2020 recv heartbeat error:0

Tue Apr 28 00:28:13 2020 recv heartbeat error:0

Tue Apr 28 00:28:13 2020 recv heartbeat error:0

Tue Apr 28 00:28:56 2020 didFinishLaunchingWithOptions
Tue Apr 28 00:29:05 2020 recv heartbeat error:0

Tue Apr 28 00:29:05 2020 Failed to get token, error:Error Domain=NSCocoaErrorDomain Code=3010 "remote notifications are not supported in the simulator" UserInfo={NSLocalizedDescription=remote notifications are not supported in the simulator}
Tue Apr 28 00:29:05 2020 applicationDidBecomeActive
Tue Apr 28 00:29:05 2020 recv heartbeat error:0

Tue Apr 28 00:29:05 2020 recv heartbeat error:0

Tue Apr 28 00:29:05 2020 upload file:/Users/apple/Library/Developer/CoreSimulator/Devices/CC341DC8-61E0-4E50-9B74-E3AD48EDB06A/data/Containers/Data/Application/214D5D56-A583-4845-AC79-1C8C0C9AD81E/Documents/1588004860_microaudio.wav size:171280 ok
Tue Apr 28 00:29:28 2020 recv heartbeat error:0

Tue Apr 28 00:32:28 2020 didFinishLaunchingWithOptions
